280;I.SKOBREV;RUS
Distance:;Time:;Lap:
1;400m;35.15;35.1
2;800m;1:05.79;30.6
3;1200m;1:36.73;30.9
4;1600m;2:07.95;31.2
5;2000m;2:39.13;31.1
6;2400m;3:10.28;31.1
7;2800m;3:41.41;31.1
8;3200m;4:12.62;31.2
9;3600m;4:43.98;31.3
10;4000m;5:15.25;31.2
11;4400m;5:46.28;31.0
12;4800m;6:17.44;31.1
13;5200m;6:48.54;31.1
14;5600m;7:19.73;31.1
15;6000m;7:50.73;31.0
16;6400m;8:21.80;31.0
17;6800m;8:53.12;31.3
18;7200m;9:24.50;31.3
19;7600m;9:55.68;31.1
20;8000m;10:27.00;31.3
21;8400m;10:58.29;31.2
22;8800m;11:29.42;31.1
23;9200m;12:00.60;31.1
24;9600m;12:31.27;30.6
25;10000m;13:02.07;30.8
